skill_group,skill,job_count,mean_salary_usd,median_salary_usd,std_salary_usd
AI-specific,Computer Vision,2284,115897.87521891418,99563.5,60360.62342714098
AI-specific,Deep Learning,2189,117242.07492005482,100603.0,61805.50289785615
AI-specific,MLOps,2164,115008.0623844732,100992.5,58635.76762766495
AI-specific,NLP,2145,116217.93146853147,101915.0,60296.54877378421
Supporting,AWS,2018,113658.1739345887,97230.0,60205.784564716225
Supporting,Azure,2144,115163.57929104478,99123.0,60189.221847920584
Supporting,Data Visualization,2270,115464.42643171806,100590.0,59692.25700313514
Supporting,Docker,1862,116751.92427497315,101333.0,61885.67015828018
Supporting,GCP,2442,115799.6294021294,100390.0,60420.156479184305
Supporting,Git,2631,116659.98517673888,103182.0,59608.43813354848
Supporting,Hadoop,2419,115749.50599421248,100069.0,60467.08802122876
Supporting,Java,2578,115336.40961986035,99853.5,60621.604275337195
Supporting,Kubernetes,3009,115123.52210036558,100812.0,59079.81107176564
Supporting,Linux,2705,114640.25545286507,97627.0,60694.341023365
Supporting,Mathematics,1943,114868.15491507978,99845.0,60767.76828730979
Supporting,PyTorch,2777,115527.20453727043,100002.0,60789.370368946664
Supporting,Python,4450,114399.13280898877,98320.0,60437.3404395183
Supporting,R,2311,113831.09346603202,98077.0,58852.61573434053
Supporting,SQL,3407,113933.56149104785,97624.0,59596.627121392485
Supporting,Scala,2794,117207.42627057982,100814.0,61013.48940333814
Supporting,Spark,2155,114764.50904872389,99893.0,59326.98210620825
Supporting,Statistics,1833,113953.93998908892,97730.0,59751.28424053976
Supporting,Tableau,2341,112896.94489534387,96029.0,59816.33831767871
Supporting,TensorFlow,3022,115143.43812045004,98893.5,60320.61153411025
